x,y
321616,5702795
321206,5702818
321849,5703979
320008,5703826
321047,5702814
321497,5702593
320103,5703013
321319,5702663
320512,5704020
320156,5703764
320756,5703061
319974,5703730
320818,5703209
320974,5702925
320713,5703745
321844,5704224
321396,5702638
321681,5703914
319958,5703626
319976,5703297
321202,5703257
321430,5703953
320818,5704278
320065,5702995
319908,5704209
320811,5703020
320697,5703092
320100,5703961
321059,5702937
320486,5702636
319993,5703223
321500,5704122
321645,5702859
321761,5704186
321665,5703701
320707,5703701
320084,5703370
320031,5703744
321412,5702454
321091,5703951
320717,5703195
320784,5704248
321243,5704048
320688,5702974
321420,5702367
321165,5703543
321772,5704088
319901,5703224
321290,5703716
321113,5703871
320166,5703458
320817,5703120
320626,5702536
321062,5704061
320230,5702708
320499,5703435
320419,5703900
320057,5704091
321542,5704206
321233,5703937
320612,5703676
320339,5703031
319943,5704175
321090,5702393
320820,5703691
320445,5703215
321164,5703988
320301,5703924
321350,5702605
321269,5703755
321280,5703729
320597,5704132
320493,5702590
320228,5702457
320534,5702743
321403,5703174
320014,5703712
321514,5703423
320892,5703073
321031,5702991
321120,5702591
320732,5702483
320656,5703036
320806,5703395
321499,5704040
320706,5703696
320146,5703891
321444,5702457
321396,5703279
320029,5702828
321231,5703495
320595,5702984
321167,5704151
320311,5702601
320206,5703840
321122,5702749
319939,5703907
320731,5702787
320812,5704113
320197,5702468
321479,5703057
320029,5704184
321849,5703345
321538,5703044
321287,5703436
319885,5704034
320611,5703380
321640,5704226
321758,5703233
321424,5703155
320698,5702782
320244,5703832
320816,5703966
319910,5702407
320345,5704204
320041,5702611
321674,5704160
321764,5703136
320820,5703403
320865,5702638
319903,5702638
320756,5703941
320840,5703876
320555,5704121
320061,5704163
321226,5703311
321747,5703428
320987,5702883
320641,5703758
320308,5703152
321657,5703213
321779,5702900
321806,5702312
321403,5703983
321482,5704171
321462,5703715
321522,5703496
321667,5703186
320344,5702384
321693,5704265
320307,5702664
320116,5702906
321680,5703908
320413,5702876
320905,5702658
320667,5704120
320137,5703423
320780,5703867
320302,5703534
320176,5703157
320527,5703405
321747,5703485
320469,5703671
321142,5703281
320156,5703023
320360,5703837
321050,5703842
321522,5703036
321117,5703838
319965,5703280
321375,5703381
321106,5703565
320005,5702461
320056,5703999
320230,5703666
321319,5703977
321082,5703893
320967,5704294
319981,5702489
320279,5703025
320436,5702673
320747,5703368
319979,5702833
321332,5703039
321191,5702971
321520,5703926
321081,5703441
321274,5702925
321293,5702885
321696,5703334
321844,5703117
321548,5702742
321212,5704226
320590,5703940
321007,5703106
320624,5702774
321636,5702539
320200,5704102
320495,5703551
321613,5703106
320476,5703573
321479,5702518
319926,5702663
321654,5702875
321785,5703011
321502,5702338
320920,5703195
321586,5702972
319997,5703005
321635,5702984
319994,5702517
321558,5703737
320435,5703771
320513,5703800
320371,5703018
320200,5702638
320088,5704211
321276,5702979
320332,5702653
321093,5702539
320889,5703049
320828,5703933
320524,5702457
320978,5704282
320616,5702759
320230,5703526
321186,5702618
320604,5702835
320593,5703463
319992,5702939
320016,5703550
320909,5703573
320036,5703354
320456,5703920
320373,5702490
320625,5703359
320202,5703301
320618,5703446
320112,5703917
320138,5703484
320447,5704047
320115,5702671
320894,5703940
320735,5703139
321701,5703778
321860,5702860
320947,5703307
321644,5704109
320996,5703557
321057,5702326
321794,5703273
321210,5702736
321307,5703041
321805,5702856
321046,5703217
320873,5702469
319901,5703888
320765,5703432
321570,5702893
320201,5703311
321561,5704006
320684,5703232
320188,5702423
320886,5702770
320580,5703594
321834,5702855
320113,5703918
320915,5704251
321233,5703615
321044,5702776
321221,5704264
320054,5703450
321407,5703120
321390,5703811
320809,5704280
320402,5703721
321183,5703201
321690,5703478
321841,5703699
320356,5703737
321668,5703618
320780,5703113
320448,5702586
321822,5704166
321607,5703101
321624,5703101
319975,5703973
320644,5704222
321729,5703065
321369,5703493
321672,5703551
320498,5703573
321777,5702421
320087,5704251
321445,5703009
321607,5703972
321568,5703675
321512,5704188
320101,5702447
321130,5702643
320331,5703402
320166,5703026
320124,5703658
320520,5703367
320787,5702610
320359,5702786
320116,5704009
321816,5703638
321362,5703486
320479,5703101
320238,5703299
321433,5703301
321388,5703608
319900,5702401
320815,5702850
321538,5702307
319960,5702964
320844,5702532
321842,5703685
320954,5703599
320310,5703780
319890,5702974
321191,5703766
321877,5703490
321599,5702355
320621,5702697
321389,5703007
321395,5703537
321745,5704255
320377,5703176
319951,5703990
321462,5702970
321507,5703508
321596,5702305
320239,5702599
321705,5702803
320603,5704300
320795,5703109
321590,5704259
321130,5703993
321805,5704119
321663,5702885
320309,5703130
321029,5703606
320535,5703053
320815,5702854
321523,5702567
320366,5702839
320740,5704283
321557,5703032
320615,5703196
321774,5703798
320526,5702412
321738,5704211
320387,5704014
320179,5703506
321169,5703512
320562,5704025
321108,5704134
321602,5703441
321350,5703971
321318,5703727
320750,5703171
320313,5702754
321790,5703632
