x,y,direction
321616,5702795,315
321206,5702818,45
321849,5703979,90
320008,5703826,225
321047,5702814,135
321497,5702593,225
320103,5703013,90
321319,5702663,45
320512,5704020,225
320156,5703764,270
320756,5703061,135
319974,5703730,225
320818,5703209,270
320974,5702925,45
320713,5703745,315
321844,5704224,270
321396,5702638,225
321681,5703914,0
319958,5703626,0
319976,5703297,0
321202,5703257,315
321430,5703953,270
320818,5704278,135
320065,5702995,0
319908,5704209,180
320811,5703020,225
320697,5703092,135
320100,5703961,270
321059,5702937,315
320486,5702636,0
319993,5703223,225
321500,5704122,180
321645,5702859,90
321761,5704186,90
321665,5703701,270
320707,5703701,90
320084,5703370,180
320031,5703744,0
321412,5702454,270
321091,5703951,135
320717,5703195,180
320784,5704248,180
321243,5704048,315
320688,5702974,45
321420,5702367,270
321165,5703543,45
321772,5704088,45
319901,5703224,135
321290,5703716,270
321113,5703871,270
320166,5703458,0
320817,5703120,0
320626,5702536,45
321062,5704061,135
320230,5702708,315
320499,5703435,315
320419,5703900,135
320057,5704091,45
321542,5704206,0
321233,5703937,180
320612,5703676,45
320339,5703031,45
319943,5704175,45
321090,5702393,270
320820,5703691,180
320445,5703215,180
321164,5703988,45
320301,5703924,135
321350,5702605,225
321269,5703755,0
321280,5703729,45
320597,5704132,180
320493,5702590,45
320228,5702457,180
320534,5702743,315
321403,5703174,90
320014,5703712,180
321514,5703423,135
320892,5703073,270
321031,5702991,180
321120,5702591,225
320732,5702483,225
320656,5703036,45
320806,5703395,225
321499,5704040,180
320706,5703696,90
320146,5703891,90
321444,5702457,270
321396,5703279,270
320029,5702828,180
321231,5703495,135
320595,5702984,225
321167,5704151,45
320311,5702601,270
320206,5703840,315
321122,5702749,0
319939,5703907,90
320731,5702787,270
320812,5704113,135
320197,5702468,315
321479,5703057,0
320029,5704184,270
321849,5703345,225
321538,5703044,225
321287,5703436,315
319885,5704034,90
320611,5703380,45
321640,5704226,0
321758,5703233,45
321424,5703155,270
320698,5702782,90
320244,5703832,180
320816,5703966,90
319910,5702407,45
320345,5704204,270
320041,5702611,135
321674,5704160,90
321764,5703136,225
320820,5703403,270
320865,5702638,135
319903,5702638,180
320756,5703941,315
320840,5703876,135
320555,5704121,225
320061,5704163,180
321226,5703311,0
321747,5703428,135
320987,5702883,0
320641,5703758,225
320308,5703152,315
321657,5703213,180
321779,5702900,0
321806,5702312,270
321403,5703983,135
321482,5704171,45
321462,5703715,225
321522,5703496,45
