x,y,direction
319904,5702379,270
319976,5702336,180
319943,5702380,315
319946,5702395,315
319921,5702395,135
319906,5702394,315
319976,5702355,225
319918,5702338,45
319903,5702332,45
319940,5702339,135
319977,5702376,0
319950,5702396,90
319976,5702394,225
319904,5702300,45
319881,5702328,270
319896,5702390,180
319941,5702365,0
319961,5702356,45
319947,5702320,180
319895,5702393,315
319881,5702369,135
319919,5702367,135
319976,5702370,225
319914,5702335,315
319977,5702345,0
319940,5702379,45
319976,5702387,90
319937,5702300,45
319922,5702372,135
319947,5702326,90
319938,5702356,135
319907,5702344,315
319956,5702391,180
319909,5702306,180
319963,5702372,315
319966,5702302,225
319901,5702362,0
319902,5702324,0
319969,5702396,270
319928,5702330,90
319881,5702364,135
319881,5702342,45
319881,5702349,180
319952,5702342,135
319914,5702318,180
319906,5702369,135
319924,5702331,0
319946,5702371,270
319958,5702318,225
319927,5702384,135
319941,5702305,270
319949,5702381,180
319905,5702356,135
319893,5702305,135
319894,5702319,315
319977,5702372,0
319977,5702378,180
319890,5702393,270
319912,5702388,90
319916,5702335,270
319933,5702321,180
319937,5702319,180
319927,5702345,315
319952,5702299,135
319975,5702303,0
319939,5702323,45
319911,5702315,270
319919,5702361,315
319928,5702304,0
319939,5702346,315
319896,5702306,225
319976,5702396,90
319944,5702383,270
319916,5702307,225
319906,5702392,90
319938,5702304,45
319966,5702358,135
319922,5702374,0
319891,5702349,180
319935,5702377,315
319882,5702336,270
319969,5702382,270
319907,5702353,270
319941,5702324,45
319902,5702357,315
319931,5702357,225
319901,5702309,45
319955,5702377,315
319885,5702380,270
319971,5702359,0
319970,5702353,180
319890,5702299,90
319941,5702389,270
319915,5702394,0
319886,5702371,225
319965,5702394,225
319945,5702346,0
319967,5702334,180
319910,5702394,135
319902,5702356,315
319933,5702319,270
319962,5702389,0
319970,5702354,45
319975,5702345,225
319896,5702396,270
319931,5702336,45
319948,5702363,180
319949,5702310,270
319910,5702396,90
319934,5702372,315
319946,5702349,0
319915,5702376,0
319893,5702370,225
319884,5702339,270
319895,5702362,90
319922,5702358,90
319904,5702311,135
319977,5702355,0
319882,5702351,135
319975,5702339,225
319935,5702348,180
319964,5702362,90
319882,5702331,315
319977,5702346,0
319977,5702353,180
319954,5702396,90
319880,5702375,0
319977,5702300,180
319880,5702372,180
319977,5702337,180
319880,5702328,0
319956,5702326,315
319935,5702343,135
319885,5702302,45
319977,5702391,180
319954,5702387,135
319914,5702328,90
319913,5702396,270
319899,5702343,225
319977,5702382,90
319906,5702367,270
319955,5702378,315
319941,5702347,270
319924,5702360,90
319944,5702359,225
319937,5702368,225
319954,5702322,0
319965,5702391,90
319936,5702385,270
319964,5702326,225
319913,5702376,225
319883,5702306,135
319905,5702379,180
319929,5702341,180
319946,5702357,90
319908,5702344,90
319966,5702308,0
319926,5702312,45
319956,5702310,0
319944,5702312,90
319925,5702376,45
319976,5702302,45
319949,5702369,135
319921,5702379,135
319959,5702302,45
319880,5702321,0
319936,5702346,270
319893,5702358,135
319889,5702345,225
319911,5702335,45
319947,5702336,315
319953,5702306,90
319966,5702381,0
319925,5702393,135
319905,5702384,90
319969,5702367,180
319954,5702314,45
319945,5702372,0
319924,5702365,270
319968,5702363,315
319968,5702345,45
319911,5702393,135
319942,5702365,135
319886,5702327,135
319947,5702329,225
319883,5702303,45
319945,5702386,45
319902,5702299,90
319948,5702299,270
319948,5702396,90
319974,5702396,90
319934,5702396,270
319938,5702299,90
319891,5702299,90
319880,5702318,0
319883,5702396,90
319977,5702352,180
319925,5702396,270
319957,5702370,45
319939,5702304,0
319915,5702326,180
319899,5702342,45
319938,5702389,0
319896,5702369,315
319887,5702331,45
319944,5702373,180
319947,5702348,270
319899,5702396,90
319917,5702374,0
319961,5702303,45
319914,5702385,135
319926,5702388,180
319903,5702360,180
319892,5702392,135
319935,5702392,135
319944,5702312,270
319891,5702317,45
319959,5702303,45
319901,5702363,135
319901,5702386,225
319932,5702396,90
319897,5702350,180
319887,5702303,315
319910,5702313,45
319955,5702372,0
319886,5702385,270
