x,y,direction
319916,5702345,270
319946,5702330,180
319972,5702332,90
319910,5702352,45
319900,5702361,90
319917,5702346,315
319970,5702368,270
319972,5702315,90
319940,5702385,180
319881,5702388,180
319940,5702336,0
319943,5702338,270
319952,5702303,90
319882,5702302,270
319906,5702311,270
319910,5702321,270
319880,5702315,90
319935,5702393,135
319930,5702333,0
319906,5702322,315
319931,5702389,180
319909,5702385,135
319889,5702319,90
319961,5702374,90
319897,5702344,135
319959,5702303,45
319976,5702305,180
319892,5702327,0
319921,5702353,315
319973,5702303,270
319919,5702338,90
319948,5702315,0
319895,5702311,135
319974,5702379,270
319909,5702333,270
319935,5702349,315
319977,5702365,135
319928,5702342,135
319911,5702340,45
319900,5702336,135
319910,5702307,45
319971,5702387,45
319934,5702314,180
319969,5702367,45
319885,5702331,180
319964,5702353,135
319950,5702299,0
319922,5702356,180
319949,5702378,315
319888,5702344,225
319964,5702340,90
319884,5702342,270
319946,5702377,225
319954,5702308,225
319887,5702320,90
319930,5702346,180
319964,5702381,270
319901,5702319,315
319956,5702370,225
319953,5702390,225
319937,5702334,225
319920,5702304,45
319943,5702380,0
319885,5702339,135
319906,5702368,0
319917,5702389,45
319962,5702389,315
319950,5702305,180
319946,5702393,180
319957,5702325,90
319944,5702347,0
319957,5702337,0
319927,5702367,180
319903,5702334,225
319883,5702359,90
319898,5702316,0
319919,5702384,225
319953,5702303,225
319944,5702389,90
319906,5702380,45
319889,5702367,270
319959,5702348,270
319961,5702299,315
319963,5702310,45
319883,5702383,135
319957,5702381,45
319912,5702388,270
319904,5702379,135
319945,5702334,270
319888,5702378,0
319935,5702350,270
319958,5702310,135
319926,5702351,135
319880,5702381,180
319949,5702354,45
319907,5702365,270
319948,5702341,90
319897,5702350,180
319895,5702379,90
319924,5702317,0
319949,5702302,180
319939,5702312,225
319902,5702304,135
319932,5702328,0
319953,5702319,45
319917,5702349,90
319931,5702330,135
319938,5702307,90
319946,5702338,315
319880,5702307,180
319963,5702355,270
319933,5702336,135
319976,5702314,180
319906,5702360,180
319890,5702332,135
319911,5702348,315
319960,5702345,270
319912,5702339,45
319883,5702358,135
319955,5702324,315
319889,5702357,315
319888,5702306,0
319941,5702366,0
319963,5702349,90
319961,5702384,0
319932,5702337,270
319885,5702389,270
319897,5702341,0
319912,5702321,315
319939,5702309,270
319908,5702363,45
319966,5702360,225
319924,5702324,225
319941,5702332,315
319911,5702395,315
319945,5702333,270
319965,5702393,315
319961,5702301,225
319909,5702315,315
319955,5702388,315
319888,5702349,45
319925,5702378,90
319948,5702311,225
319917,5702301,315
319909,5702358,0
319917,5702325,180
319905,5702327,45
319907,5702358,225
319916,5702369,180
319898,5702304,45
319944,5702352,45
319885,5702345,315
319898,5702391,315
319940,5702301,90
319910,5702347,270
319918,5702345,180
319948,5702396,315
319914,5702300,135
319909,5702355,135
319974,5702396,225
319944,5702369,45
319940,5702312,90
319895,5702356,90
319972,5702369,270
319921,5702315,135
319952,5702351,45
319948,5702330,270
319972,5702352,0
319971,5702351,225
319914,5702396,45
319936,5702366,90
319930,5702384,270
319954,5702374,180
319961,5702319,225
319962,5702363,180
319925,5702377,180
319898,5702307,270
319956,5702368,135
319897,5702328,135
319899,5702320,180
319945,5702346,180
319956,5702299,45
319900,5702332,0
319935,5702395,180
319884,5702323,90
319937,5702327,45
319886,5702333,180
319901,5702374,180
319900,5702299,180
319897,5702383,0
319899,5702315,90
319895,5702317,315
319962,5702380,90
319941,5702369,270
319921,5702322,225
319916,5702357,0
319898,5702369,0
319880,5702366,90
319883,5702394,90
319924,5702318,135
319961,5702347,45
319959,5702377,180
319951,5702369,0
319928,5702350,225
319914,5702323,90
319968,5702358,270
319967,5702340,45
319975,5702360,270
319928,5702393,135
319901,5702306,270
319941,5702322,135
319956,5702378,180
319900,5702389,0
319904,5702389,45
319923,5702315,180
319894,5702390,135
319911,5702365,135
319926,5702301,315
319940,5702369,225
319889,5702346,225
319887,5702343,135
319917,5702395,45
319906,5702326,45
319903,5702323,270
319939,5702349,45
319924,5702328,315
319899,5702391,225
319959,5702339,180
319961,5702356,0
319974,5702348,135
319922,5702388,315
319954,5702314,0
319901,5702391,225
319976,5702365,180
319890,5702367,270
319952,5702343,90
319885,5702334,225
319922,5702314,0
319906,5702350,180
319963,5702366,270
319937,5702367,315
319886,5702323,90
319927,5702307,315
319917,5702375,45
319903,5702321,225
319967,5702304,225
319884,5702347,90
319921,5702361,315
319910,5702331,180
319903,5702375,90
319911,5702335,90
319890,5702374,180
319951,5702352,90
319965,5702309,90
319943,5702376,45
319941,5702359,0
319882,5702346,0
319955,5702360,0
319894,5702315,270
319962,5702359,180
319963,5702302,180
319972,5702378,45
319958,5702309,225
319972,5702318,135
319932,5702302,90
319937,5702337,225
319890,5702385,225
319943,5702312,135
319950,5702307,0
319965,5702356,270
319913,5702361,225
319935,5702367,0
319885,5702392,0
319884,5702375,270
319946,5702347,180
319966,5702321,315
319939,5702390,90
319966,5702348,180
319977,5702308,180
319897,5702338,315
319973,5702338,45
319944,5702299,270
319921,5702386,315
319898,5702315,180
319962,5702334,270
319893,5702339,135
319917,5702307,270
319939,5702377,135
319899,5702341,180
319970,5702352,225
319880,5702335,225
319973,5702314,180
319908,5702371,45
319943,5702305,45
319880,5702395,90
319894,5702338,225
319930,5702323,90
319973,5702373,315
319926,5702361,45
319943,5702361,0
319951,5702365,45
319971,5702365,225
319949,5702336,270
319913,5702353,315
319941,5702388,135
319921,5702304,315
319914,5702386,180
319935,5702374,270
319947,5702355,270
319901,5702335,0
319930,5702373,270
319939,5702323,315
319965,5702330,0
319881,5702327,180
319955,5702314,90
319905,5702391,225
319929,5702391,315
319923,5702371,135
319897,5702385,90
319935,5702304,135
319892,5702313,45
319891,5702305,45
319959,5702369,270
319927,5702364,0
319969,5702322,180
319918,5702331,315
319883,5702390,315
319931,5702355,315
319914,5702302,135
319932,5702384,0
319924,5702338,90
319956,5702394,180
319932,5702330,270
319912,5702316,135
319939,5702333,225
319927,5702359,90
319920,5702299,45
319910,5702346,270
319962,5702311,225
319888,5702304,0
319906,5702349,270
319955,5702385,90
319931,5702351,0
319977,5702343,0
319906,5702308,225
319940,5702368,45
319920,5702307,0
319903,5702389,225
319936,5702386,315
319891,5702388,225
319902,5702395,315
319923,5702380,270
319925,5702364,90
319934,5702366,0
319933,5702339,270
319977,5702371,45
319974,5702354,135
319926,5702353,135
319905,5702352,225
319966,5702308,0
319941,5702312,315
319918,5702380,270
319938,5702362,135
319922,5702386,180
319971,5702379,180
319965,5702341,0
319934,5702343,45
319888,5702358,270
319912,5702366,270
319953,5702312,135
319937,5702383,180
319938,5702340,180
319907,5702357,180
319925,5702312,315
319937,5702351,135
319938,5702309,225
319891,5702390,225
319968,5702309,45
319889,5702387,45
319954,5702378,90
319935,5702311,270
319902,5702309,180
319933,5702395,180
319909,5702334,315
319899,5702361,45
319955,5702307,225
319972,5702345,90
319909,5702307,225
319948,5702354,225
319930,5702322,270
319954,5702360,180
319913,5702336,225
319904,5702384,45
319945,5702322,270
319964,5702300,270
319892,5702301,225
319969,5702386,315
319973,5702354,270
319935,5702387,90
319959,5702371,180
319973,5702334,180
319952,5702313,0
319882,5702335,0
319892,5702339,270
319888,5702310,0
319950,5702341,90
319897,5702311,180
319895,5702364,225
319889,5702309,45
319928,5702346,270
319962,5702396,315
319953,5702322,0
319949,5702316,0
319956,5702386,0
319940,5702372,90
319932,5702311,45
319893,5702303,225
319920,5702386,90
319882,5702376,45
319971,5702328,45
319901,5702316,225
319898,5702393,270
319905,5702381,135
319899,5702301,0
319955,5702395,225
319899,5702353,135
319916,5702340,0
319973,5702329,135
319931,5702310,135
319926,5702354,225
319899,5702376,135
319977,5702382,270
319975,5702326,0
319960,5702331,315
319883,5702306,225
319938,5702311,45
319891,5702393,315
319976,5702329,270
319957,5702331,45
319910,5702339,45
319904,5702299,45
319932,5702313,180
319940,5702381,90
319924,5702363,135
319910,5702322,180
319951,5702388,225
319940,5702386,45
319921,5702324,0
319943,5702379,45
319954,5702343,225
319889,5702364,0
319883,5702311,90
319938,5702391,135
319975,5702391,45
319901,5702318,225
319881,5702386,315
319967,5702367,90
319882,5702347,135
319947,5702303,135
319907,5702352,135
319888,5702360,180
319963,5702346,180
319952,5702396,225
319920,5702395,180
319957,5702362,45
319966,5702374,180
319945,5702395,90
319886,5702378,180
319923,5702391,180
319943,5702387,225
319967,5702394,315
319918,5702389,225
319918,5702329,0
319963,5702372,225
319938,5702356,135
319912,5702319,90
319896,5702340,225
319918,5702381,135
319942,5702378,315
319966,5702361,0
319881,5702360,225
319928,5702340,45
319977,5702375,180
319902,5702311,45
319976,5702308,45
319893,5702388,270
319927,5702381,270
319963,5702343,180
319907,5702322,225
319893,5702315,90
319930,5702366,180
319964,5702366,180
319903,5702381,0
319969,5702361,45
319933,5702372,135
319897,5702393,90
319943,5702365,90
319956,5702319,45
319913,5702327,225
319975,5702352,45
