x,y,direction
319914,5702367,0
319918,5702351,90
319949,5702374,90
319905,5702302,90
319904,5702329,180
319963,5702389,45
319973,5702301,90
319932,5702376,315
319884,5702363,90
319977,5702359,180
319974,5702341,0
319925,5702374,45
319953,5702373,90
319934,5702361,0
319898,5702395,135
319933,5702320,45
319945,5702383,315
319953,5702317,225
319916,5702304,0
319976,5702309,315
319966,5702343,315
319943,5702342,225
319912,5702309,270
319961,5702363,315
319924,5702308,270
319963,5702308,225
319888,5702321,90
319883,5702383,315
319958,5702316,135
319888,5702355,45
319895,5702361,90
319935,5702300,315
319948,5702300,45
319929,5702330,0
319929,5702354,225
319924,5702395,225
319888,5702373,0
319918,5702369,315
319929,5702380,0
319894,5702304,90
319963,5702306,135
319975,5702325,315
319880,5702387,180
319976,5702323,225
319931,5702377,270
319952,5702339,135
319967,5702346,180
319919,5702304,135
319891,5702395,135
319915,5702383,135
319915,5702396,315
319881,5702326,45
319952,5702390,45
319949,5702303,225
319915,5702368,180
319928,5702369,135
319920,5702309,225
319944,5702379,315
319965,5702315,135
319947,5702331,180
319944,5702396,90
319880,5702364,180
319907,5702322,225
319919,5702345,90
319930,5702351,0
319927,5702342,270
319895,5702374,90
319972,5702325,135
319939,5702300,315
319921,5702352,270
319927,5702363,225
319966,5702299,270
319977,5702337,0
319977,5702302,0
319977,5702324,0
319977,5702315,180
319880,5702331,180
319910,5702299,90
319880,5702344,0
319977,5702317,180
319945,5702347,0
319887,5702355,135
319890,5702393,180
319891,5702396,90
319894,5702366,225
319932,5702315,225
319908,5702339,90
319882,5702335,180
319880,5702367,180
319949,5702352,45
319970,5702334,45
319880,5702326,0
319977,5702344,45
319888,5702333,225
319933,5702342,135
319970,5702309,180
319890,5702390,180
319968,5702349,45
319880,5702390,180
319893,5702387,180
319961,5702396,270
319971,5702335,0
319921,5702366,270
319943,5702393,90
319916,5702394,135
319977,5702306,0
319940,5702307,0
319963,5702326,225
319929,5702396,270
319953,5702338,315
319922,5702341,225
319975,5702327,315
319944,5702372,135
319967,5702360,315
319943,5702314,180
319894,5702340,270
319959,5702311,90
319969,5702329,180
319908,5702301,45
319904,5702324,0
319959,5702324,225
319902,5702302,225
319899,5702355,180
319920,5702393,270
319896,5702317,225
319903,5702367,270
319882,5702327,45
319899,5702351,0
319934,5702394,135
319948,5702321,135
319934,5702394,45
319930,5702396,270
319911,5702301,45
319901,5702392,225
319901,5702299,225
319880,5702374,0
319951,5702347,180
319913,5702350,90
319946,5702361,0
319977,5702300,180
319953,5702348,225
319918,5702305,135
319893,5702351,135
319898,5702315,0
319885,5702382,225
319900,5702354,270
319977,5702357,180
319966,5702299,90
319913,5702396,90
319909,5702299,90
319924,5702341,45
319889,5702334,180
319910,5702307,180
319890,5702321,45
319933,5702356,315
319932,5702391,45
319891,5702345,180
319940,5702318,45
319934,5702345,315
319924,5702328,270
319914,5702347,0
319912,5702352,315
319966,5702302,45
319920,5702390,135
319962,5702394,90
319970,5702380,90
319950,5702330,135
319949,5702335,180
319974,5702321,90
319934,5702396,90
319901,5702391,270
319908,5702367,0
319891,5702351,90
319894,5702315,0
319937,5702329,135
319883,5702327,135
319895,5702326,225
319901,5702354,90
319968,5702338,180
319903,5702320,0
319912,5702391,270
319893,5702302,45
319889,5702389,225
319976,5702369,45
319931,5702326,45
319921,5702354,90
319948,5702302,315
319893,5702374,315
319923,5702320,315
319897,5702344,0
319943,5702387,0
319974,5702334,225
319910,5702375,270
319910,5702323,0
319933,5702313,315
319929,5702393,225
319892,5702348,0
319901,5702377,315
319908,5702313,90
319926,5702333,0
319974,5702362,225
319974,5702384,315
319889,5702396,270
319908,5702299,90
319902,5702345,180
319915,5702353,90
319918,5702379,270
319919,5702374,315
319925,5702333,270
319970,5702302,315
319880,5702376,0
319974,5702396,90
319905,5702299,270
319880,5702368,180
319937,5702396,270
319908,5702396,270
319896,5702396,90
319926,5702396,270
319958,5702380,45
319912,5702299,90
319906,5702303,225
319971,5702325,270
319886,5702320,90
319958,5702377,225
319947,5702349,45
319939,5702315,0
319974,5702384,90
319931,5702371,45
319884,5702354,180
319944,5702374,90
319952,5702339,0
319976,5702355,45
319927,5702309,225
319889,5702313,0
319929,5702391,315
319880,5702360,180
319958,5702372,0
319916,5702322,0
319949,5702387,315
319950,5702343,135
319967,5702366,0
319936,5702377,225
319946,5702341,270
319932,5702301,180
319903,5702388,90
319884,5702313,315
319902,5702344,0
319952,5702369,0
319934,5702336,270
319890,5702348,225
319967,5702367,90
319926,5702371,270
319910,5702310,180
319923,5702310,90
319913,5702360,270
319938,5702392,315
319951,5702361,90
319901,5702392,135
319931,5702313,270
319894,5702299,90
319950,5702303,315
319947,5702317,90
319905,5702337,45
319935,5702333,45
319914,5702316,90
319914,5702299,270
319926,5702396,90
319973,5702299,270
319977,5702313,0
319977,5702321,180
319908,5702330,135
319881,5702396,270
319880,5702311,0
319977,5702320,180
319898,5702299,90
319928,5702385,225
319906,5702354,270
319923,5702326,315
319975,5702360,0
319903,5702305,135
319942,5702394,90
319882,5702329,270
319944,5702367,90
319946,5702323,0
319916,5702312,180
319916,5702335,270
319896,5702379,90
319933,5702386,0
319893,5702344,0
319888,5702391,45
319912,5702304,315
319945,5702389,45
319909,5702304,135
319975,5702376,90
319899,5702386,225
319953,5702361,45
319891,5702316,315
319920,5702336,45
319972,5702354,315
319885,5702379,45
319950,5702342,225
319903,5702390,315
319885,5702384,135
319939,5702381,225
319960,5702386,0
319905,5702303,225
319893,5702307,225
319911,5702396,90
319912,5702321,225
319933,5702352,225
319885,5702392,45
319891,5702396,90
319886,5702314,225
319884,5702304,315
319947,5702319,45
319934,5702374,135
319943,5702348,135
319924,5702346,90
319977,5702345,0
319905,5702320,0
319947,5702324,315
319950,5702371,0
319972,5702352,315
319972,5702375,315
319947,5702336,0
319939,5702364,45
319928,5702304,135
319896,5702363,315
319916,5702369,0
319880,5702354,315
319964,5702347,180
319883,5702347,270
319885,5702366,45
319977,5702330,0
319898,5702340,135
319907,5702368,135
319946,5702300,135
319956,5702350,135
319941,5702391,225
319968,5702304,315
319885,5702317,45
319909,5702302,270
319880,5702364,180
319924,5702350,45
319953,5702299,270
319880,5702318,0
319880,5702332,0
319896,5702299,270
319880,5702372,0
319927,5702364,225
319977,5702338,180
319936,5702372,0
319959,5702328,180
319883,5702333,180
319911,5702330,45
319968,5702366,90
319966,5702380,315
319965,5702377,90
319951,5702336,270
319961,5702377,270
319969,5702349,270
319915,5702341,180
319958,5702361,90
319944,5702324,225
319973,5702372,0
319889,5702359,225
319922,5702382,225
319967,5702346,180
319920,5702362,270
319890,5702322,270
319934,5702346,90
319939,5702332,0
319951,5702320,180
319917,5702319,135
319954,5702305,315
319955,5702311,135
319952,5702389,45
319971,5702357,225
319899,5702336,135
319973,5702304,135
319914,5702312,45
319908,5702342,0
319895,5702318,315
319968,5702371,45
319938,5702354,225
319886,5702301,225
319940,5702299,90
319944,5702368,0
319894,5702317,180
319949,5702357,270
319886,5702307,135
319947,5702322,0
319936,5702340,45
319921,5702345,315
319902,5702394,0
319900,5702390,135
319885,5702324,315
319910,5702312,90
319959,5702378,270
319955,5702311,270
319968,5702352,90
319886,5702386,45
319955,5702325,270
319896,5702359,315
319886,5702378,135
319896,5702348,270
319917,5702396,90
319971,5702349,315
319881,5702354,225
319896,5702316,270
319970,5702378,0
319974,5702374,135
319938,5702369,180
319942,5702299,270
319880,5702347,180
319887,5702396,90
319932,5702299,270
319926,5702299,90
319880,5702317,180
319893,5702299,270
319977,5702392,0
319925,5702396,270
319880,5702351,180
319885,5702396,90
319880,5702325,0
319936,5702299,90
319900,5702326,180
319907,5702299,90
319977,5702303,180
319880,5702341,180
319899,5702396,0
319971,5702348,45
319907,5702326,0
319967,5702369,225
319968,5702308,225
319962,5702313,180
319949,5702348,315
319892,5702345,225
319967,5702363,270
319956,5702384,135
319950,5702319,180
319881,5702375,270
319880,5702304,180
319929,5702327,135
319895,5702333,135
319936,5702375,90
319970,5702305,225
319887,5702308,135
319924,5702374,90
319960,5702365,270
319901,5702343,270
319940,5702371,45
319970,5702380,315
319952,5702347,270
319924,5702362,90
319895,5702367,135
319962,5702329,180
319968,5702377,135
319914,5702317,135
319977,5702322,0
319952,5702306,45
319947,5702362,45
319926,5702316,135
319949,5702369,135
319908,5702372,90
319921,5702363,180
319947,5702307,225
319944,5702317,135
319958,5702304,270
319965,5702319,180
319977,5702360,0
319899,5702396,90
319913,5702354,135
319951,5702377,0
319885,5702306,315
319901,5702352,90
319947,5702330,270
319887,5702323,45
319925,5702336,90
319915,5702335,90
319961,5702299,90
319880,5702317,180
319880,5702370,0
319945,5702396,270
319939,5702396,270
319972,5702396,90
319889,5702396,270
319977,5702364,180
319943,5702382,225
319920,5702299,270
319902,5702334,315
319903,5702299,90
319977,5702341,0
319880,5702311,0
319927,5702299,270
319884,5702396,90
319919,5702299,270
319920,5702366,180
319968,5702332,0
319949,5702379,180
319949,5702353,90
319970,5702309,0
319962,5702350,135
319881,5702300,270
319908,5702328,225
319906,5702369,315
319948,5702303,90
319944,5702378,0
319908,5702329,270
319909,5702302,270
319898,5702396,315
319943,5702307,225
319909,5702329,135
319954,5702321,45
319922,5702336,45
319969,5702384,90
319940,5702346,90
319904,5702366,90
319927,5702382,90
319887,5702371,315
319906,5702374,180
319880,5702319,180
319974,5702350,45
319925,5702306,90
319899,5702299,270
319932,5702378,315
319942,5702333,0
319902,5702345,225
319969,5702385,315
319895,5702396,270
319903,5702317,0
319918,5702354,90
319969,5702339,225
319969,5702356,180
319954,5702333,270
319941,5702353,270
319953,5702325,180
319927,5702342,0
319938,5702320,180
319888,5702321,45
319881,5702333,270
319952,5702339,315
319899,5702374,180
319935,5702353,315
319930,5702330,0
319955,5702307,315
319944,5702350,135
319961,5702383,135
319880,5702392,0
319977,5702311,0
319962,5702396,270
319880,5702354,0
319880,5702380,0
319959,5702299,90
319977,5702391,0
319898,5702396,270
319880,5702310,180
319893,5702396,270
319977,5702377,0
319929,5702368,270
319941,5702371,135
319916,5702299,270
319950,5702391,90
319880,5702336,0
319951,5702299,90
319977,5702395,180
319897,5702395,270
319923,5702370,135
319908,5702326,225
319942,5702347,270
319897,5702371,315
319950,5702360,0
319947,5702347,90
319926,5702366,225
319885,5702346,225
319967,5702346,0
319943,5702391,270
319934,5702331,225
319942,5702327,180
319896,5702344,315
319951,5702354,135
319972,5702382,90
319966,5702303,90
319890,5702375,45
319940,5702382,225
319951,5702330,135
319901,5702300,225
319966,5702347,135
319936,5702341,135
319885,5702377,0
319893,5702358,315
319916,5702324,45
319935,5702390,90
319903,5702357,270
319897,5702374,135
319911,5702322,225
319896,5702359,270
319940,5702335,135
319954,5702334,180
319968,5702314,225
319949,5702388,90
319880,5702362,180
319941,5702299,270
319968,5702344,225
319941,5702308,45
319950,5702327,0
319943,5702363,270
319943,5702323,315
319935,5702324,135
319921,5702369,90
319891,5702382,0
319889,5702313,135
319901,5702313,225
319908,5702387,135
319891,5702344,270
319956,5702302,135
319930,5702388,0
319975,5702338,180
319974,5702395,0
319954,5702349,180
319936,5702311,180
319943,5702342,45
319903,5702355,90
319880,5702308,315
